Date,Net Sales,Orders,Guests
06/24/2018,7897.09,171,292,
06/25/2018,4755.91,119,178,
06/26/2018,4544.38,134,176,
06/27/2018,5976.33,132,235,
06/28/2018,7075.2,159,211,
06/29/2018,6379.44,146,220,
06/30/2018,8242.09,188,300,
07/01/2018,8308.26,155,275,
07/02/2018,3563.19,102,153,
07/03/2018,6518.36,156,227,
07/04/2018,5308.24,127,200,
07/05/2018,3846.25,93,147,
07/06/2018,6750.04,169,255,
07/07/2018,8089,192,312,
07/08/2018,7946.11,166,382,
07/09/2018,3626.17,104,155,
07/10/2018,3559.82,112,150,
07/11/2018,7816.36,168,267,
07/12/2018,6131.18,106,174,
07/13/2018,6332.3,152,219,
07/14/2018,6815.17,149,257,
07/15/2018,9120.48,196,329,
07/16/2018,5248.66,119,152,
07/17/2018,4381.55,79,125,
07/18/2018,7244.96,140,247,
07/19/2018,4051.83,105,146,
07/20/2018,7503.39,169,257,
07/21/2018,8273.79,152,274,
07/22/2018,6256.07,124,226,
07/23/2018,3157.3,89,117,
07/24/2018,4275.33,112,143,
07/25/2018,5293.77,115,188,
07/26/2018,4751.41,109,239,
07/27/2018,6604.27,156,236,
07/28/2018,10022.5,171,273,
07/29/2018,5985.3,130,228,
07/30/2018,3789.44,83,128,
07/31/2018,4162.89,110,161,
08/01/2018,5183.14,134,200,
08/02/2018,5650.18,135,200,
08/03/2018,7782.85,200,287,
08/04/2018,7162.59,156,264,
08/05/2018,7143.17,157,280,
08/06/2018,3138.63,96,131,
08/07/2018,3948.01,95,136,
08/08/2018,4773.89,124,196,
08/09/2018,3937.96,96,137,
08/10/2018,6272.66,152,237,
08/11/2018,6537.48,143,245,
08/12/2018,7464.85,155,269,
08/13/2018,2798.7,78,102,
08/14/2018,4881.91,109,159,
08/15/2018,5997.18,128,198,
08/16/2018,3933.72,100,141,
08/17/2018,6545.65,160,227,
08/18/2018,10851.34,199,306,
08/19/2018,6351.8,133,239,
08/20/2018,3668.3,92,136,
08/21/2018,3196.3,82,126,
08/22/2018,7171.25,148,244,
08/23/2018,6396.01,148,210,
08/24/2018,7745.11,165,274,
08/25/2018,13984.33,481,655,
08/26/2018,11447.61,331,488,
08/27/2018,3634.21,110,155,
08/28/2018,3565.4,90,132,
08/29/2018,4259.23,113,169,
08/30/2018,4901.45,129,182,
08/31/2018,6486.55,156,233,
09/01/2018,7081,155,234,
09/02/2018,6670.43,142,259,
09/03/2018,5460.17,124,212,
09/04/2018,3496.64,94,134,
09/05/2018,4905.11,132,175,
09/06/2018,4653.6,122,155,
09/07/2018,9674.84,235,314,
09/08/2018,7637.67,170,269,
09/09/2018,6144.62,139,216,
09/10/2018,3179.61,93,123,
09/11/2018,3461.76,81,116,
09/12/2018,5238.03,121,164,
09/13/2018,5125.63,130,169,
09/14/2018,7728.63,167,249,
09/15/2018,9588.4,253,369,
09/16/2018,6133.72,141,302,
09/17/2018,3637.73,102,144,
09/18/2018,2824.39,81,114,
09/19/2018,5413.36,108,173,
09/20/2018,4957.69,149,200,
09/21/2018,6906.32,158,199,
09/22/2018,10761.76,252,368,
09/23/2018,6942.5,136,258,
09/24/2018,2941.03,94,116,
09/25/2018,3415.08,81,119,
09/26/2018,5320.01,123,178,
09/27/2018,5608.47,132,184,
09/28/2018,7412.81,162,226,
09/29/2018,10428.07,204,347,
09/30/2018,6742.17,143,241,
10/01/2018,3903.86,94,157,
10/02/2018,3207.16,101,133,
10/03/2018,5183.3,120,177,
10/04/2018,4934.85,117,175,
10/05/2018,7567.89,162,246,
10/06/2018,10637.17,260,409,
10/07/2018,7434.71,165,283,
10/08/2018,3900.38,101,147,
10/09/2018,3660.7,103,146,
10/10/2018,5173.62,126,202,
10/11/2018,4296.92,121,163,
10/12/2018,8448.08,185,271,
10/13/2018,8841.2,165,275,
10/14/2018,7465.52,153,300,
10/15/2018,3030.24,80,108,
10/16/2018,4358.01,106,153,
10/17/2018,5195.08,113,251,
10/18/2018,4849.17,130,260,
10/19/2018,6775.99,149,265,
10/20/2018,12141.73,172,307,
10/21/2018,6079.82,130,226,
10/22/2018,3229.68,85,112,
10/23/2018,3148.6,82,129,
10/24/2018,4290.81,103,156,
10/25/2018,4258.52,120,166,
10/26/2018,6739.38,165,246,
10/27/2018,7844.02,196,287,
10/28/2018,8851.46,166,339,
10/29/2018,3619.15,88,122,
10/30/2018,2663.61,82,108,
10/31/2018,7044.88,165,285,
11/01/2018,4874.63,125,184,
11/02/2018,7362.43,175,261,
11/03/2018,8767.58,192,353,
11/04/2018,9129.52,173,332,
11/05/2018,3213.22,78,110,
11/06/2018,4645.55,114,172,
11/07/2018,5218.94,125,185,
11/08/2018,4017.91,114,148,
11/09/2018,5063.56,122,175,
11/10/2018,8964.41,172,282,
11/11/2018,7855.8,159,279,
11/12/2018,3028.22,73,119,
11/13/2018,2810.93,88,118,
11/14/2018,5295.08,112,170,
11/15/2018,4991.36,112,170,
11/16/2018,5911.89,154,224,
11/17/2018,9257.54,214,327,
11/18/2018,6996.26,142,296,
11/19/2018,3515.63,92,166,
11/20/2018,4206.84,108,153,
11/21/2018,6839.62,120,228,
11/22/2018,4993.38,78,126,
11/23/2018,6595.26,169,242,
11/24/2018,4973.31,100,174,
11/25/2018,4743.44,100,184,
11/26/2018,3235.97,92,131,
11/27/2018,3120.59,99,121,
11/28/2018,4581.35,103,163,
11/29/2018,4334.7,105,154,
11/30/2018,9412.49,200,284,
12/01/2018,12600.97,165,293,
12/02/2018,6601.6,121,220,
12/03/2018,4317,110,155,
12/04/2018,3573.8,96,129,
12/05/2018,6214.25,139,217,
12/06/2018,4104.11,109,144,
12/07/2018,8336.57,183,281,
12/08/2018,10309.16,211,313,
12/09/2018,7415.4,153,262,
12/10/2018,2997.95,90,119,
12/11/2018,6585.56,68,95,
12/12/2018,5714.37,116,195,
12/13/2018,4691.57,110,168,
12/14/2018,12226.95,208,312,
12/15/2018,9017.63,182,322,
12/16/2018,5537.66,123,205,
12/17/2018,4461.87,94,147,
12/18/2018,4613.23,104,148,
12/19/2018,9163.32,128,212,
12/20/2018,4777.09,108,165,
12/21/2018,6383.84,164,230,
12/22/2018,7369.51,149,247,
12/23/2018,5761.41,107,189,
12/24/2018,3660.61,80,130,
12/25/2018,4039.9,84,131,
12/26/2018,4499.98,93,167,
12/27/2018,4723.43,91,167,
12/28/2018,4790.57,109,172,
12/29/2018,5918.22,130,228,
12/30/2018,7815.32,132,264,
12/31/2018,9475.85,185,308,
01/01/2019,7302.59,137,251,
01/02/2019,4209.77,96,151,
01/03/2019,3050.42,92,123,
01/04/2019,6138.56,146,210,
01/05/2019,5602.57,119,186,
01/06/2019,5492.77,115,204,
01/07/2019,3326.38,92,122,
01/08/2019,2555.53,67,97,
01/09/2019,5101.24,110,176,
01/10/2019,3419.42,96,122,
01/11/2019,5758.96,137,198,
01/12/2019,10614.06,159,250,
01/13/2019,6773.69,142,241,
01/14/2019,3244.33,72,105,
01/15/2019,3330.5,86,123,
01/16/2019,5676.28,110,189,
01/17/2019,4388,99,149,
01/18/2019,5891.15,138,222,
01/19/2019,8384.18,156,282,
01/20/2019,6296.09,171,253,
01/21/2019,3689.97,82,135,
01/22/2019,3594.86,116,140,
01/23/2019,5027.16,112,183,
01/24/2019,2618.76,79,104,
01/25/2019,6730.34,163,258,
01/26/2019,12867.68,202,324,
01/27/2019,5000.95,111,198,
01/28/2019,3045.35,84,111,
01/29/2019,3116.77,109,123,
01/30/2019,8194.61,117,172,
01/31/2019,3833.28,114,151,
02/01/2019,5740.6,147,224,
02/02/2019,7464.95,147,274,
02/03/2019,7611.37,146,258,
02/04/2019,4045.97,88,171,
02/05/2019,3028.03,100,138,
02/06/2019,4709.32,115,177,
02/07/2019,4462.94,106,173,
