DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
2017-06-10,11.41,0.0,0.0,0.0,76.0,88,61,230,230,23.9,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-11,11.18,0.0,0.0,0.0,82.0,94,67,250,230,23.9,33.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-12,9.17,0.0,0.0,0.0,85.0,97,69,260,260,19.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-13,9.84,0.0,0.0,0.0,87.0,99,72,250,260,21.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-14,7.61,0.17,0.0,0.0,80.0,83,69,20,30,18.1,21.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-06-15,7.61,0.0,0.0,0.0,70.0,74,65,140,140,16.1,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-16,7.61,0.0,0.0,0.0,67.0,71,64,90,90,13.0,16.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-17,5.14,1.24,0.0,0.0,67.0,73,64,150,140,10.1,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-18,8.95,0.0,0.0,0.0,76.0,89,68,170,170,18.1,23.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-19,13.87,1.51,0.0,0.0,81.0,91,69,240,240,44.1,63.1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2017-06-20,12.53,0.02,0.0,0.0,76.0,87,69,260,250,28.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-21,11.18,0.0,0.0,0.0,78.0,87,68,240,270,21.9,29.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2017-06-22,6.71,0.0,0.0,0.0,76.0,84,65,160,150,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-23,12.75,0.41,0.0,0.0,81.0,87,77,240,240,23.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-06-24,12.08,1.56,0.0,0.0,79.0,88,69,280,280,25.9,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-25,8.05,0.0,0.0,0.0,78.0,86,68,330,240,21.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-26,10.29,0.0,0.0,0.0,74.0,82,64,240,250,21.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-27,8.05,0.15,0.0,0.0,71.0,80,62,270,280,21.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-28,9.17,0.0,0.0,0.0,70.0,81,58,270,290,19.9,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-29,13.42,0.0,0.0,0.0,75.0,86,64,200,200,23.0,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,13.87,0.0,0.0,0.0,80.0,91,73,200,200,25.1,33.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,9.62,0.47,0.0,0.0,80.0,85,71,210,220,23.9,31.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,10.51,0.0,0.0,0.0,78.0,90,69,250,260,19.9,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,8.28,0.0,0.0,0.0,82.0,90,71,310,310,23.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-04,6.71,0.0,0.0,0.0,78.0,88,71,20,280,14.1,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-05,7.61,0.0,0.0,0.0,77.0,85,69,150,170,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-06,6.71,0.0,0.0,0.0,74.0,78,71,160,160,14.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-07,8.28,2.15,0.0,0.0,73.0,83,66,330,330,25.9,33.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-07-08,11.63,0.0,0.0,0.0,78.0,87,68,250,250,25.1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,8.95,0.0,0.0,0.0,77.0,84,68,260,260,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,9.62,0.0,0.0,0.0,76.0,87,64,200,200,21.0,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
