,net_sales,day_of_week
2018-12-26,4499.98,Wednesday
2018-12-27,4723.43,Thursday
2018-12-28,4790.57,Friday
2018-12-29,5918.22,Saturday
2018-12-30,7815.32,Sunday
2018-12-31,9475.85,Monday
2019-01-01,7302.59,Tuesday
2019-01-02,4209.77,Wednesday
2019-01-03,3050.42,Thursday
2019-01-04,6138.56,Friday
2019-01-05,5602.57,Saturday
2019-01-06,5492.77,Sunday
2019-01-07,3326.38,Monday
2019-01-08,2555.53,Tuesday
2019-01-09,5101.24,Wednesday
2019-01-10,3419.42,Thursday
2019-01-11,5758.96,Friday
2019-01-12,10614.06,Saturday
2019-01-13,6773.69,Sunday
2019-01-14,3244.33,Monday
2019-01-15,3330.5,Tuesday
2019-01-16,5676.28,Wednesday
2019-01-17,4388.0,Thursday
2019-01-18,5891.15,Friday
2019-01-19,8384.18,Saturday
2019-01-20,6296.09,Sunday
2019-01-21,3689.97,Monday
2019-01-22,3594.86,Tuesday
2019-01-23,5027.16,Wednesday
2019-01-24,2618.76,Thursday
2019-01-25,6730.34,Friday
2019-01-26,12867.68,Saturday
2019-01-27,5000.95,Sunday
2019-01-28,3045.35,Monday
2019-01-29,3116.77,Tuesday
2019-01-30,8194.61,Wednesday
2019-01-31,3833.28,Thursday
2019-02-01,5740.6,Friday
2019-02-02,7464.95,Saturday
2019-02-03,7611.37,Sunday
2019-02-04,4045.97,Monday
2019-02-05,3028.03,Tuesday
2019-02-06,4709.32,Wednesday
2019-02-07,4462.94,Thursday
2019-02-08,6901.18,Friday
2019-02-09,6743.41,Saturday
2019-02-10,6324.11,Sunday
2019-02-11,2505.37,Monday
2019-02-12,2239.02,Tuesday
2019-02-13,4424.21,Wednesday
2019-02-14,6317.2,Thursday
2019-02-15,5836.67,Friday
2019-02-16,5930.29,Saturday
2019-02-17,5679.39,Sunday
2019-02-18,4259.21,Monday
2019-02-19,3318.01,Tuesday
2019-02-20,3866.37,Wednesday
2019-02-21,4492.81,Thursday
2019-02-22,5922.99,Friday
2019-02-23,6844.31,Saturday
2019-02-24,6674.93,Sunday
2019-02-25,2622.95,Monday
2019-02-26,3202.38,Tuesday
2019-02-27,5544.19,Wednesday
2019-02-28,2939.03,Thursday
2019-03-01,7111.63,Friday
2019-03-02,6588.23,Saturday
2019-03-03,6658.57,Sunday
2019-03-04,7989.92,Monday
2019-03-05,2326.3,Tuesday
2019-03-06,3070.01,Wednesday
2019-03-07,5794.89,Thursday
2019-03-08,7585.71,Friday
2019-03-09,10401.04,Saturday
2019-03-10,4454.64,Sunday
2019-03-11,3316.47,Monday
2019-03-12,4221.06,Tuesday
2019-03-13,4562.0,Wednesday
2019-03-14,3966.22,Thursday
2019-03-15,6474.32,Friday
2019-03-16,9089.45,Saturday
2019-03-17,10825.73,Sunday
2019-03-18,2914.96,Monday
2019-03-19,2749.64,Tuesday
2019-03-20,4832.49,Wednesday
2019-03-21,3540.77,Thursday
2019-03-22,7599.02,Friday
2019-03-23,7116.79,Saturday
2019-03-24,8844.97,Sunday
2019-03-25,3406.91,Monday
2019-03-26,4058.32,Tuesday
2019-03-27,5151.56,Wednesday
2019-03-28,4298.78,Thursday
2019-03-29,7393.98,Friday
2019-03-30,10433.33,Saturday
2019-03-31,7186.79,Sunday
2019-04-01,2967.33,Monday
2019-04-02,2996.15,Tuesday
2019-04-03,5123.77,Wednesday
2019-04-04,3934.1,Thursday
2019-04-05,6080.83,Friday
2019-04-06,13465.05,Saturday
2019-04-07,8040.57,Sunday
2019-04-08,5223.25,Monday
2019-04-09,4104.26,Tuesday
2019-04-10,5117.78,Wednesday
2019-04-11,4379.52,Thursday
2019-04-12,7498.97,Friday
2019-04-13,13149.18,Saturday
2019-04-14,7852.39,Sunday
2019-04-15,4020.05,Monday
2019-04-16,4864.17,Tuesday
2019-04-17,5695.01,Wednesday
2019-04-18,4672.0,Thursday
2019-04-19,9098.68,Friday
2019-04-20,9528.64,Saturday
2019-04-21,7111.34,Sunday
2019-04-22,3179.2,Monday
2019-04-23,5637.65,Tuesday
2019-04-24,7055.64,Wednesday
2019-04-25,5242.11,Thursday
2019-04-26,4813.83,Friday
2019-04-27,9060.01,Saturday
2019-04-28,7604.65,Sunday
2019-04-29,3704.82,Monday
2019-04-30,3734.44,Tuesday
2019-05-01,5897.68,Wednesday
2019-05-02,4345.48,Thursday
2019-05-03,7727.88,Friday
2019-05-04,11193.72,Saturday
2019-05-05,7590.44,Sunday
2019-05-06,2841.98,Monday
2019-05-07,4070.07,Tuesday
2019-05-08,6213.83,Wednesday
2019-05-09,4724.16,Thursday
2019-05-10,7715.76,Friday
2019-05-11,9762.68,Saturday
2019-05-12,8482.9,Sunday
2019-05-13,3036.42,Monday
2019-05-14,3253.87,Tuesday
2019-05-15,6429.39,Wednesday
2019-05-16,4850.61,Thursday
2019-05-17,10051.78,Friday
2019-05-18,10007.39,Saturday
2019-05-19,9888.96,Sunday
2019-05-20,5174.75,Monday
2019-05-21,4251.04,Tuesday
2019-05-22,6030.58,Wednesday
2019-05-23,4945.02,Thursday
2019-05-24,8669.04,Friday
2019-05-25,10076.12,Saturday
2019-05-26,6198.72,Sunday
2019-05-27,8303.14,Monday
2019-05-28,3680.72,Tuesday
2019-05-29,5882.21,Wednesday
2019-05-30,4311.04,Thursday
2019-05-31,9153.13,Friday
2019-06-01,9496.3,Saturday
2019-06-02,7138.63,Sunday
2019-06-03,3398.33,Monday
2019-06-04,4917.12,Tuesday
2019-06-05,6357.25,Wednesday
2019-06-06,4540.7,Thursday
2019-06-07,8431.1,Friday
2019-06-08,9766.45,Saturday
2019-06-09,8523.14,Sunday
2019-06-10,3681.76,Monday
2019-06-11,4113.42,Tuesday
